,ConfirmedCases,Fatalities,R,HospitalizedCases,CriticalCases,Date,CountryName,ExposedCases,RecoveredCases,InfectiousCases,t_hosp,t_crit,m,c,f
2020-03-02,1.0,0.0,3.9397666701244902,0.0,0.0,2020-03-02,Latvia,0.0,0.0,1.0,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-03,1.0105074227949145,2.8637870388328523e-05,3.939766109274186,0.1889677992871491,0.001124216067062668,2020-03-03,Latvia,1.489111413106059,0.19063664852881282,0.6297501210415014,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-04,0.9005514278421491,0.0001595401556266768,3.9397487229939507,0.487147477266052,-0.005014398758256227,2020-03-04,Latvia,3.9024477232267403,0.4836015807475829,-0.06534277156885618,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-05,1.2698466592185056,0.00027424977784796763,3.93963038819546,0.6193860851709848,0.022302581590906135,2020-03-05,Latvia,4.792812933676041,0.6437052304061965,-0.01582148772742987,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-06,2.3081030606386204,0.0003567160901867949,3.939192443037708,0.5124236069030884,0.09609636183174335,2020-03-06,Latvia,3.4959874681194236,0.6105292012922489,1.0886971745213532,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-07,3.62689858188672,0.0005327187286195856,3.9380147920199264,0.3759748811138621,0.19031260324683932,2020-03-07,Latvia,1.8482935212778089,0.5683585765283238,2.4917198022690754,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-08,4.331106886654077,0.0010537413933132541,3.9354103198514565,0.6688655999292134,0.24460042325944478,2020-03-08,Latvia,3.8817729150948717,0.9170018089897212,2.499585313082384,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-09,4.808574551297419,0.0018850583831379246,3.9303629568657756,1.241321452540704,0.28538228535913784,2020-03-09,Latvia,8.215671590384037,1.5327374494018087,1.747248305612631,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-10,6.205228006562821,0.002825587551313826,3.921474054833728,1.5818509277005843,0.3916190227148556,2020-03-10,Latvia,10.34340906112432,1.9816592856713375,2.2472731829247308,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-11,8.643627551020794,0.003935896763984717,3.9069250819726293,1.6881606326962828,0.5724955648652302,2020-03-11,Latvia,10.19751472033484,2.2707382907897444,4.108297165905551,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-12,11.228947635486039,0.005539581527572548,3.884468830966583,2.067236264517493,0.7674489826587917,2020-03-12,Latvia,12.11817164589012,2.847933316180954,5.5407894906012265,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-13,13.53776065473422,0.00788108914717228,3.8514655995755303,3.0205694422366047,0.9473397696921815,2020-03-13,Latvia,18.514661633473978,3.986580760140213,5.575389593518049,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-14,16.95371530835073,0.010796654453278164,3.8049835416113638,3.9687498954442217,1.2118419393044764,2020-03-14,Latvia,24.386823424367225,5.205478131949033,6.55684868719972,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-15,21.975426583188305,0.014382269535773207,3.7419809842507545,4.788485408933729,1.6003588845689776,2020-03-15,Latvia,28.624013926291873,6.420605184362878,9.151594835786948,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
2020-03-16,28.235390095481755,0.0190114536059081,3.6595797159986803,5.827788823759873,2.089385947171693,2020-03-16,Latvia,33.8107763098588,7.957725361689395,12.341478509254888,10.0,20.0,0.5006775908194492,1.0,0.05239061945193789
